id,topic,speaker,twitter,tag,monkvideo,video,slides,description
overview,Flavour Of Monktoberfest,Overview Video,,,https://www.youtube.com/watch?v=LpYvht06ySw&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=1,,,
drewconway,"Questions first, then data - perspectives on data science from a social scientist",Drew Conway,drewconway,,https://www.youtube.com/watch?v=vUI3MmOrk20&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=2,,,
TomRaftery,Can we hack open source cloud platforms to help reduce emissions?,Tom Raftery,TomRaftery,,https://www.youtube.com/watch?v=F-gO_aqKTsM&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=3,,,
rafecolburn,Scaling sucks - what I learned in a year at Etsy,Rafe Colburn,,,https://www.youtube.com/watch?v=PuMkFmf04p4&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=4,,,
joelong,Everyone is influential. Curation and the Social Web,Joe Long,,,https://www.youtube.com/watch?v=ohaEUDlBEdc&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=5,,,
stevesp,Dropping science on your developer ecosystem - lessons from ecosystem management,Steve Citron-Pousty,,,https://www.youtube.com/watch?v=km8ZaALb12U&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=6,,,
ryantomayko,Distributed Management,Ryan Tomayko,,,https://www.youtube.com/watch?v=mrONxcyQo4E&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=7,,,
paulahunter,OSS and Social Media Punditry vs Zealotry,Paula Hunter,,,https://www.youtube.com/watch?v=5JZE12FOyI4&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=8,,,
the_spinmd,Engaging influencers in a Post-PR world using non-traditional methods of abstraction & intuition,Mike Maney,the_spinmd,,https://www.youtube.com/watch?v=qXPzAMnt6mQ&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=9,,,
laurelruma,The content creator's dilemma,Laurel Ruma and Nellie McKesson,laurelruma,,https://www.youtube.com/watch?v=p2OChlrXQwI&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=10,,,
jzb,How I learned to stop worrying and love Open Source Software Foundations,Joe Brockmeier,jzb,,https://www.youtube.com/watch?v=NhfoQl7TQhw&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=11,,,
richsands,Open Data is not the same as Open Source,Rich Sands,,,https://www.youtube.com/watch?v=HBe4IbuQAhQ&amp;list=PLCqwGkIBqardFiT0S2HJcQKgcaam8qlMl&amp;index=12,,,
