id,topic,speaker,twitter,tag,monkvideo,video,slides,description
paulford,The Web and the Quest for the Perfect Document,Paul Ford,,,https://redmonk.com/videos/monktoberfest-2013-paul-ford-the-web-and-the-quest-for-the-perfect-document/,https://www.youtube.com/watch?v=6v_RnV1eNgs&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=1,,
mattsimon,The Start up Stack,Matt Biddulph and Simon Willinson,,,,https://www.youtube.com/watch?v=aoDbpB8Idlo&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=2,,
jamesmatt,The Return of Craft How the Civil Service Got Some Groove,James Stewart and Matt Wall,,,,https://www.youtube.com/watch?v=PHJhDfFQn-Q&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=3,,
adamroben,The Importance of Face Time,Adam Roben,,,,https://www.youtube.com/watch?v=aSNAKH34xVQ&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=4,,
panel,The Craft Beer Experience,Distinguished Panelists,,,,https://www.youtube.com/watch?v=uAllVI3agWo&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=5,,
stevelamb,"Social first, Passion first",Steve Lamb,,,,https://www.youtube.com/watch?v=3sldLed2C7s&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=6,,
ZUrlocker,Scale the machine and be outstanding in your field,Zack Urlocker,ZUrlocker,,,https://www.youtube.com/watch?v=lfzHsw35JG0&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=7,,
alexpayne,Reconsidering startups Letter To A Young Programmer Considering A Startup,Alex Payne,,,,https://www.youtube.com/watch?v=S2pV-Um51TM&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=8,,
ickaelremond,Real time Social a developers view of push messaging for collaborative appdev,Mickael Remond,,,,https://www.youtube.com/watch?v=0Z1oFI7hWfo&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=9,,
richsands,Open Data is not the same as Open Source,Rich Sands,,,,https://www.youtube.com/watch?v=nuK_qGCfbWU&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=11,,
nickcelia,When & whether to consider scalability tech vs beer,Nick McNally and Celia Lager,,,,https://www.youtube.com/watch?v=GurPUwnlrWs&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=12,,
sogrady,More Data about Developers - The latest from RedMonk Analytics,Stephen O'Grady,sogrady,,,https://www.youtube.com/watch?v=Z_5V7m3ek5Q&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=13,,
panel,Overview/Interviews,Various Speakers,,,,https://www.youtube.com/watch?v=ql1j13EBSck&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=14,,
deir,Marketing Your Tech Talent,Deirdre Straughan,DeirdreS,,,https://www.youtube.com/watch?v=9pGSIE7grSs&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=15,,
DeirdreS,"Little Tech, Big Impact - Putting Tech to Work for Your Community",Michael Ducy,,,,https://www.youtube.com/watch?v=DP6GCm6HK1U&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=16,,
lindasandvik,Hacking the Future,Linda Sandvik,,,,https://www.youtube.com/watch?v=ywCcwi6EfI8&list=PLvsKqlNNP3R8jxBkNWQzIGU5wIg8_pd-i&index=17,,
