id,topic,speaker,twitter,monkvideo,video,slides,description,threads
shannonwiltseystirman,Mental Health Recovery: Is There An App For That?,Shannon Wiltsey Stirman,,http://redmonk.com/videos/monktoberfest-2016-shannon-wiltsey-stirman-mental-health-recovery-is-there-an-app-for-that/,,,,
brendandburns,Why Do I Care About Microservices?,Brendan Burns,brendandburns,http://redmonk.com/videos/brendan-burns-why-do-i-care-about-microservices/,,,,
MandyWhaley,The Power of #FamilyOps for Women in Tech,Mandy Whaley,MandyWhaley,http://redmonk.com/videos/monktoberfest-2016-mandy-whaley-the-power-of-familyops-for-women-in-tech/,,,,
tomlooy,The Beer Game,Tom Looy,,http://redmonk.com/videos/tom-looy-the-beer-game/,,,,
laurelatoreilly,Big Beer and the Unicorn Hedge,Laurel Ruma,laurelatoreilly,http://redmonk.com/videos/monktoberfest-laurel-ruma-big-beer-and-the-unicorn-hedge/,,,,
Mo_Mack,Beer: Not Just for Your Devs,Maureen McElaney,Mo_Mack,http://redmonk.com/videos/monktoberfest-2016-maureen-mcelaney-beer-not-just-for-your-devs/,,,,
aneel,How Not to Get Rich in Tech,Aneel Lakhani,aneel,http://redmonk.com/videos/monktoberfest-2016-aneel-lakhani-how-not-to-get-rich-in-tech/,,,,
kstirman,Parenting in the Age of Social,Kelly Stirman,kstirman,http://redmonk.com/videos/monktoberfest-2016-kelly-stirman-parenting-in-the-age-of-social/,,,,
imamyo,"Thoughts on Beer, Health, and Data Analytics",Amy O'Connor,imamyo,http://redmonk.com/videos/monktoberfest-2016-amy-oconnor-thoughts-on-beer-health-and-data-analytics/,,,,
fimoculous,Netflix and Ch-ch-chilly,Rex Sorgatz,fimoculous,http://redmonk.com/videos/monktoberfest-2016-rex-sorgatz-netflix-and-ch-ch-chilly/,,,,
revodavid,The Value Of Open Source Communities,David Smith,revodavid,http://redmonk.com/videos/monktoberfest-2016-david-smith-the-value-of-open-source-communities/,,,,
bcantrill,Oral Tradition In Software Engineering,Bryan Cantrill,bcantrill,http://redmonk.com/videos/monktoberfest-bryan-cantrill-oral-tradition-in-software-engineering/,,,,
