id,topic,speaker,twitter,tag,monkvideo,video,slides,description,threads,threads2,threads3
juliaferraioli,Remember when we broke the internet?,Julia Ferraioli; Amanda Casari,JuliaFerraioli;AMcasari,reliability,,,https://docs.google.com/presentation/d/1JWzE92jykf7PwMFFCwzr4ok8A2bwKv8yHXvZ2uGy0bs/edit#slide=id.g1481648854d_0_5,Exploring how a handful of key open source projects ended up breaking the internet with surprising reasons (and solutions). Plus a sing-along.,https://twitter.com/webchick/status/1578031984139333632,https://twitter.com/IAmJerdog/status/1578034551774814208,
circlejtp,Tip Of The Pandemic,JT Perry,CircleJTP,healthcare,,,,"Effects of the pandemic from a healthcare CIO perspective, plus some unexpected consequences with long structural effects.",https://twitter.com/webchick/status/1578039764187488262,,
thestoutrunner,Acid Rock Drainage (Nonprofits & Conservation),Andrew Todd,TheStoutRunner,conservation,,,https://www.runningrivers.org/,Starting and fundraising for conservation nonprofits as a second job - and making it sustainable.,https://twitter.com/webchick/status/1578045617758248963,,
missamarakay,The Year Of No (And The Growth It Inspired),Amara Graham,MissAmaraKay,careers,,,,"A talk about feelings and a mid-career journey of ""saying no"" as the change to take charge of your professional direction.",https://twitter.com/webchick/status/1578085141720752131,https://twitter.com/IAmJerdog/status/1578085357899350016,https://twitter.com/wiredferret/status/1578085494273064961
joeemison,Socially Acceptable Places To Live If You're In Tech,Joe Emison,JoeEmison,hiring,,,,A leader's journey to finding the perfect place to build a business - by considering needs of future employees.,https://twitter.com/webchick/status/1578096655663910912,,
maggiefero,Corpora: Literal And Metaphorical,Margaret Fero,MaggieFero,ethics,,,,Notes from 'Bone Rooms' and AI Ethics: any learning system using a static corpus is already outdated.,https://twitter.com/webchick/status/1578104496072589313,https://twitter.com/wiredferret/status/1578104202911485956,
anncerveny,Everything You Want Is On The Other Side Of … Admin Privileges,Ann Cerveny,,careers,,,,"Breaking into tech later in a career: define yourself by where you want to go, don't let gatekeepers block you out.",https://twitter.com/webchick/status/1578118138599800849,,
quinnypig,The Art of Personal Failure,Corey Quinn,QuinnyPig,failure,,,,A from the heart talk listing Corey's major failures: normalizing talking about getting fired helps all of us.,https://twitter.com/webchick/status/1578119002450440192,https://twitter.com/wiredferret/status/1578118688062013454,
iamjerdog,"Mentorship, And Restarting Civilization From Scratch",Jeremy Meiss,IAmJerdog,mentoring,,,,"All the important how-tos about mentoring (or being a mentee), and how important that relationship is for organizational knowledge.",https://twitter.com/webchick/status/1578396076901531650,https://twitter.com/wiredferret/status/1578390027331158017,
rstephensme,Introspection Gaps,Rachel Stephens,RStephensMe,communication,,,,"Kindness! Explore your feelings before being an asshole on the internet - or anywhere, really; if you are: apologize, duh.",https://twitter.com/webchick/status/1578396462425247744,https://twitter.com/wiredferret/status/1578396414136262658,
bcantrill,Coming Of Age in Technology,Bryan Cantrill,BCantrill,education,,,,Improving educational systems to better recognize childrens' mental and emotional abilities.,https://twitter.com/webchick/status/1578405481554579457,https://twitter.com/bcantrill/status/1505694855669813248,
